"Continent","Country","State_Code","State","Region","Province","County","City"
"Europe","DE",,"Nordrhein-Westfalen",,,"Bochum",
"North America","US",,"Texas",,,"Hartley",
"North America","US",,"Texas",,,"Menard",
"North America","US",,"North Carolina",,,"Craven",
"Europe","DE",,"Hessen",,,"Fulda",
"Europe","DE",,"Bayern",,,"Ansbach",
"Europe","IT",,,"Sicilia","Agrigento",,
"Europe","FR",,,"Alsace","Bas-Rhin",,
"Europe","DK",,,"Sjælland","Københavns amt",,
"Europe","GB",,"England",,"Kent",,
"North America","US",,"Maine",,,"Androscoggin",
"North America","US",,"North Carolina",,,"Cherokee",
"North America","US",,"Kentucky",,,"Monroe",
"North America","US",,"Illinois",,,"Lee",
"Europe","IT",,,"Abruzzi","Teramo",,
"Europe","DE",,"Niedersachsen",,,"Emden",
"North America","US",,"Kansas",,,"Finney",
"North America","US",,"PR",,,"Vega Alta",
"North America","US",,"Texas",,,"Angelina",
"North America","US",,"Texas",,,"Kerr",
"North America","US",,"Indiana",,,"Franklin",
"North America","US",,"South Carolina",,,"Bamberg",
"North America","US",,"Illinois",,,"Mcdonough",
"North America","US",,"Virginia",,,"Southampton",
"Europe","FR",,,"Provence-Alpes-Cote","Var",,
"North America","US",,"Minnesota",,,"Blue Earth",
"Europe","ES",,,"Pais Vasco","Vizcaya",,
"North America","US",,"Florida",,,"Brevard",
"North America","US",,"Georgia",,,"Fayette",
"North America","US",,"California",,,"Kern",
"Europe","DE",,"Mecklenburg-Vorpommern",,,"Greifswald",
"Europe","GB",,"England",,"South Humberside",,
"North America","US",,"Tennessee",,,"Carter",
"North America","US",,"Georgia",,,"Randolph",
"Europe","GB",,"England",,"West Midlands",,
"Europe","DE",,"Baden-Württemberg",,,"Mannheim",
"North America","US",,"PR",,,"Manati",
"North America","US",,"Oklahoma",,,"Custer",
"North America","US",,"Texas",,,"Palo Pinto",
"Europe","IT",,,"Friuli Venezia Giulia","Gorizia",,
"Europe","GB",,"England",,"Hertfordshire",,
"North America","US",,"Arizona",,,"Yavapai",
"Europe","BE",,,"Wallonia","Liège","Huy",
"North America","US",,"Wyoming",,,"Big Horn",
"North America","US",,"Illinois",,,"Woodford",
"North America","US",,"Tennessee",,,"White",
"North America","US",,"Georgia",,,"Irwin",
"Europe","GB",,"England",,"East Sussex",,
"North America","US",,"Alabama",,,"Elmore",
"North America","US",,"Illinois",,,"la Salle",
"North America","US",,"Tennessee",,,"Morgan",
"North America","US",,"New Jersey",,,"Burlington",
"Europe","FR",,,"Languedoc-Roussillon","Pyrenees-Orientales",,
"North America","US",,"Mississippi",,,"Holmes",
